Lactobacillus_iners	ACLN01
Enterococcus_aquimarinus	JXKD01
Sporomusa_malonica	FWXI01
Amorphus_coralli	ARFZ01
Mycoplasma_felis	JNKA01
Cyclobacterium_lianum	FRCY01
Actinomyces_suimastitidis	AUBF01
Paenibacillus_massiliensis	ARIL01
Glycomyces_arizonensis	AXWO01
Clostridium_novyi	NC_008593.1
Actinoalloteichus_hoggarensis	NZ_CP022521.1
Sulfurivirga_caldicuralii	FSRE01
Segetibacter_koreensis	ARFB01
Faecalibaculum_rodentium	NZ_CP011391.1
Thermogemmatispora_onikobensis	BDGT01
Eubacterium_ventriosum	AAVL02
Bacillus_humi	LMBW01
Sediminimonas_qiaohouensis	AUIJ01
Labrenzia_suaedae	FRBW01
Bartonella_bacilliformis	NC_008783.1
Catelliglobosispora_koreensis	ARBL01
Helicobacter_canis	AZJJ01
Kordiimonas_gwangyangensis	AQXF01
Atopostipes_suicloacalis	FQUF01
Alicyclobacillus_hesperidum	FNOJ01
Anaplasma_marginale	NC_012026.1
Niabella_ginsenosidivorans	NZ_CP015772.1
Bordetella_bronchiseptica	NZ_CP014013.1
Bacillus_massilioanorexius	CAPG01
Bacillus_smithii	NZ_CP012024.1
Desulfovibrio_aminophilus	AUMA01
Microbacterium_trichothecenolyticum	JYJA01
Streptomyces_indicus	FNFF01
Hymenobacter_norwichensis	ATVL01
Methanothrix_soehngenii	NC_015416.1
Actinokineospora_spheciospongiae	AYXG01
Providencia_heimbachae	FIZD01
Desulfallas_gibsoniae	NC_021184.1
Rhodovulum_sulfidophilum	MSYQ01
Limnothrix_rosea	MRBY01
Leptospira_alstonii	NZ_CP015218.1
Geobacter_lovleyi	NC_010814.1
Brevibacillus_thermoruber	ATNE01
Arcobacter_thereius	LLKQ01
