Bacillus abyssalis
Bacillus acidiceler
Bacillus acidicola
Bacillus acidiproducens
Bacillus aidingensis
Bacillus akibai
Bacillus alcalophilus
Bacillus alkalinitrilicus
Bacillus alkalitelluris
Bacillus amyloliquefaciens
Bacillus andreraoultii
Bacillus aquimaris
Bacillus atrophaeus
Bacillus aurantiacus
Bacillus azotoformans
Bacillus badius
Bacillus bataviensis
Bacillus beveridgei
Bacillus bogoriensis
Bacillus boroniphilus
Bacillus campisalis
Bacillus caseinilyticus
Bacillus cecembensis
Bacillus cellulosilyticus
Bacillus chagannorensis
Bacillus cihuensis
Bacillus circulans
Bacillus clausii
Bacillus coagulans
Bacillus coahuilensis
Bacillus cohnii
Bacillus cytotoxicus
Bacillus dakarensis
Bacillus daliensis
Bacillus dielmoensis
Bacillus drentensis
Bacillus eiseniae
Bacillus enclensis
Bacillus farraginis
Bacillus fastidiosus
Bacillus filamentosus
Bacillus flexus
Bacillus fordii
Bacillus fumarioli
Bacillus ginsengihumi
Bacillus glycinifermentans
Bacillus gobiensis
Bacillus gottheilii
Bacillus halmapalus
Bacillus halosaccharovorans
Bacillus hemicellulosilyticus
Bacillus horikoshii
Bacillus horneckiae
Bacillus humi
Bacillus indicus
Bacillus infantis
Bacillus jeddahensis
Bacillus koreensis
Bacillus korlensis
Bacillus kribbensis
Bacillus krulwichiae
Bacillus kwashiorkori
Bacillus lentus
Bacillus licheniformis
Bacillus ligniniphilus
Bacillus litoralis
Bacillus lonarensis
Bacillus manliponensis
Bacillus mannanilyticus
Bacillus marisflavi
Bacillus massilioanorexius
Bacillus massiliogorillae
Bacillus massiliosenegalensis
Bacillus megaterium
Bacillus mesonae
Bacillus methanolicus
Bacillus mycoides
Bacillus ndiopicus
Bacillus niacini
Bacillus niameyensis
Bacillus novalis
Bacillus oceanisediminis
Bacillus okuhidensis
Bacillus oryziterrae
Bacillus panaciterrae
Bacillus patagoniensis
Bacillus persicus
Bacillus plakortidis
Bacillus pseudofirmus
Bacillus pseudomycoides
Bacillus psychrosaccharolyticus
Bacillus pumilus
Bacillus rubiinfantis
Bacillus salsus
Bacillus shacheensis
Bacillus shackletonii
Bacillus simplex
Bacillus sinesaloumensis
Bacillus smithii
Bacillus solani
Bacillus soli
Bacillus solimangrovi
Bacillus sporothermodurans
Bacillus subterraneus
Bacillus testis
Bacillus thermoamylovorans
